job_title,location,fair,overpaid,underpaid
AI Engineer,Australia,0.82689556509299,0.04291845493562232,0.1301859799713877
AI Engineer,Canada,0.7613903240958196,0.18976045091592297,0.048849224988257396
AI Engineer,Germany,0.8388189738625363,0.09341723136495644,0.06776379477250725
AI Engineer,India,0.2836812144212524,0.07732447817836813,0.6389943074003795
AI Engineer,Netherlands,0.8250728862973761,0.04227405247813411,0.1326530612244898
AI Engineer,Remote,0.835016835016835,0.04040404040404041,0.12457912457912458
AI Engineer,Singapore,0.8207503473830478,0.04075961093098657,0.13849004168596574
AI Engineer,Sweden,0.8271665043816943,0.0433300876338851,0.12950340798442064
AI Engineer,UK,0.7943432406519655,0.13950143815915628,0.06615532118887824
AI Engineer,USA,0.6714082503556188,0.29397818871503084,0.034613560929350404
Backend Developer,Australia,0.7452830188679245,0.14339622641509434,0.11132075471698114
Backend Developer,Canada,0.7674081237911026,0.07059961315280464,0.16199226305609285
Backend Developer,Germany,0.8045662100456621,0.07945205479452055,0.11598173515981736
Backend Developer,India,0.36129970902036856,0.37827352085354027,0.26042677012609117
Backend Developer,Netherlands,0.752,0.1411764705882353,0.1068235294117647
Backend Developer,Remote,0.7399438727782974,0.13797942001870908,0.12207670720299345
Backend Developer,Singapore,0.7369179068650984,0.13970235237638023,0.12337974075852136
Backend Developer,Sweden,0.7650912494150679,0.1254094525035096,0.10949929808142256
Backend Developer,UK,0.805727923627685,0.058233890214797135,0.1360381861575179
Backend Developer,USA,0.6815377313716184,0.07546274323682961,0.24299952539155198
Business Analyst,Australia,0.6401913875598086,0.22057416267942584,0.13923444976076554
Business Analyst,Canada,0.6640297812936249,0.0288506281991624,0.30711959050721266
Business Analyst,Germany,0.7144886363636364,0.09185606060606061,0.19365530303030304
Business Analyst,India,0.25902125556104794,0.6124567474048442,0.12852199703410777
Business Analyst,Netherlands,0.6473761647866602,0.2202059833251594,0.13241785188818048
Business Analyst,Remote,0.6132075471698113,0.24826216484607747,0.1385302879841112
Business Analyst,Singapore,0.6408003904343582,0.21766715470961445,0.14153245485602733
Business Analyst,Sweden,0.6345057034220533,0.22005703422053233,0.14543726235741444
Business Analyst,UK,0.7058538945331398,0.049830672472181904,0.24431543299467828
Business Analyst,USA,0.5552223888055972,0.02948525737131434,0.41529235382308843
Cloud Engineer,Australia,0.7911153119092628,0.08790170132325142,0.12098298676748583
Cloud Engineer,Canada,0.8037974683544303,0.09152872444011685,0.10467380720545277
Cloud Engineer,Germany,0.8363725973385905,0.07491375061606703,0.08871365204534254
Cloud Engineer,India,0.3735576923076923,0.24326923076923077,0.38317307692307695
